职位,公司名,地点,薪酬,发布时间
市场运行机制研究岗,上海期货与衍生品研究院有限责任公司,上海-浦东新区,30-40万/年,11-09
综合研究岗,上海期货与衍生品研究院有限责任公司,异地招聘,20-30万/年,11-13
综合研究岗,上海期货与衍生品研究院有限责任公司,上海-浦东新区,20-30万/年,11-13
Java架构师,买又买电子商务科技（深圳）有限公司,深圳-龙华新区,2-2.5万/月,11-13
量化研究岗,上海期货与衍生品研究院有限责任公司,上海-浦东新区,30-40万/年,11-13
理财规划师,上海虎裕股权投资基金有限公司,上海-浦东新区,6-8千/月,11-15
新媒体营销,心喜阅信息咨询（深圳）有限公司,深圳-南山区,0.6-1.5万/月,11-15
反欺诈总监（互联网金融）,上海二三四五网络科技有限公司,上海-浦东新区,4-6万/月,11-15
大数据开发（数据挖掘/处理）,上海浦东发展银行股份有限公司信用卡中心,上海-浦东新区,1.5-3.5万/月,11-15
Web前端开发工程师,广州润宝信息科技有限公司,广州-荔湾区,1-1.2万/月,11-15
数据分析师-01722,北京比特大陆科技有限公司,北京-海淀区,2-4万/月,11-15
高级量化分析工程师,上海数旦信息技术有限公司,上海-徐汇区,2-3万/月,11-15
高级国际会议策划专员,希迈商务咨询（上海）有限公司,上海-浦东新区,0.7-1.5万/月,11-15
金融实习生,上海茂典资产管理有限公司,上海,1.5-2千/月,11-15
策划编辑,北京八本坊文化传播有限公司,北京-海淀区,6-8千/月,11-15
证券事务部高级经理,同美企业管理集团有限公司,北京-朝阳区,2-2.5万/月,11-15
科创板实习研究员,上海本翼资产管理有限公司,上海-浦东新区,1.5-2千/月,11-15
财经编辑&记者,北京法链科技有限公司,北京-海淀区,1.5-2万/月,11-15
医学编辑,北京医美讯医药信息咨询有限公司,北京-朝阳区,0.8-1万/月,11-15
留学生储备管理（带薪培训）,徽仁芃盈资产管理（上海）有限公司,上海-静安区,0.8-1万/月,11-15
固定收益部债券承揽岗,东亚前海证券有限责任公司,上海-浦东新区,25-50万/年,11-15
大数据开发工程师,广州艾米会电子商务有限公司,广州-天河区,1-1.5万/月,11-15
高级数据分析师,银联智惠信息服务（上海）有限公司,上海-浦东新区,2.5-3万/月,11-15
医药行业投资总监,浙江华海投资管理有限公司,上海-浦东新区,3-5万/月,11-15
国际学术合作专员,上海东闻文化传媒有限公司,上海-浦东新区,0.8-1万/月,11-15
策划编辑,中国纺织出版社,北京-朝阳区,6-8千/月,11-15
机器学习算法研发工程师,北京飞鱼科技有限公司,北京-海淀区,2-3.5万/月,11-15
资深数据挖掘专家（风险管理）,上海北溟数据科技有限公司,上海-浦东新区,2-4万/月,11-15
资产管理师,深圳市前海芯邦创新投资有限公司,深圳-南山区,15-20万/年,11-15
高级PHP开发工程师,深圳一号钻电子科技有限公司,深圳-罗湖区,2-3万/月,11-15
计算机图书编辑,北京华章图文信息有限公司（机械工业出版社华章公司）,北京-西城区,6-8千/月,11-15
二级业务团队负责人,西部信托有限公司,杭州,,11-15
行政综合,江海证券有限公司深圳分公司,深圳-福田区,0.8-1.5万/月,11-15
投资总监,深圳前海与君金融控股有限公司,深圳-南山区,2-5万/月,11-15
外汇管理编辑,中国外汇管理杂志社,北京,0.8-1万/月,11-15
信用研究主管,创金合信基金管理有限公司,深圳-福田区,10万以上/月,11-15
股票研究员/上市公司研究员/行业研究员,广州市好投投资管理有限公司,广州-天河区,10-20万/年,11-15
视觉设计师,品效合一（广州）传媒有限公司,广州-天河区,1-1.8万/月,11-15
质量控制岗--研究所,西藏东方财富证券股份有限公司,上海-徐汇区,1.5-2万/月,11-15
研投中心实习研究员,建信期货有限责任公司,上海-浦东新区,1.5-2千/月,11-15
期权研究员,深圳前海中移华捷投资管理有限公司,深圳-福田区,1-5万/月,11-15
AI架构师,大地零一（深圳）科技有限公司,深圳,,11-15
产品经理（无人驾驶高精地图）,上海图趣信息科技有限公司（Wayz.ai）,上海-浦东新区,2-4万/月,11-15
投行项目经理/项目助理,上海淳实资产管理有限公司,上海-静安区,0.5-1万/月,11-15
英文医学编辑,北京轩银瑞华文化传播有限公司,北京,0.8-1万/月,11-15
资深编辑,中欧商业在线,上海,0.8-1.5万/月,11-15
AliJapan-天猫国际-聚划算运营专员,阿里巴巴集团,杭州,,11-15
地方部高级研究员,人民网股份有限公司,北京-朝阳区,0.8-1万/月,11-15
资深产品经理（财富规划系统方向）,国金证券股份有限公司,上海-浦东新区,2.5-3万/月,11-15
Junior Data Scientist,网驰（上海）网络科技有限公司,上海-黄浦区,0.8-1万/月,11-15
媒介部总监,上海远播教育科技股份有限公司,上海-徐汇区,2-3万/月,11-15
CEO助理（公关方向）,杭州行至云起科技有限公司,杭州-滨江区,1-2万/月,11-15
金融讲师,上海扶诚金融信息技术服务有限公司,上海-普陀区,0.8-2.5万/月,11-15
基金产品研究员,上海梵潇网络科技有限公司,上海-浦东新区,0.8-1万/月,11-15
投管经理（人力尽调方向）,深圳澳银资本管理有限公司,深圳-南山区,0.9-1.5万/月,11-15
产品经理（量化）,杭州同花顺数据开发有限公司,异地招聘,0.9-2万/月,11-15
基金经理/业务总监,广东东方盛世可再生能源产业基金管理有限公司,深圳-南山区,1.5-2.5万/月,11-15
中文/策划编辑,上海国际酒业交易中心股份有限公司,上海-虹口区,6-8千/月,11-15
投资总监（医疗健康产业方向）,上海盛宇股权投资基金管理有限公司,上海-徐汇区,1-3万/月,11-15
产品及市场运行维护岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
Senior analyst,广州艾媒数聚信息咨询股份有限公司,广州,15-20万/年,11-15
数据分析 Python,深圳市中投兴业有限公司,深圳-福田区,1.5-2万/月,11-15
利率衍生品做市交易经理,国海证券股份有限公司,深圳-福田区,2-3千/月,11-15
合规专员（北京）,国信证券人力资源总部,北京,1-1.5万/月,11-15
Peer Review Manager,Taylor & Francis Group(泰勒弗朗西斯出版集团),北京-海淀区,1.5-2万/月,11-15
责任编辑,北京博宏裕邦经济信息咨询中心,北京-西城区,0.8-1.5万/月,11-15
另类投资项目经理,太平养老保险股份有限公司,上海-浦东新区,,11-15
量化交易策略师,金瑞期货股份有限公司,深圳-福田区,1.5-4万/月,11-15
投资助理,深圳市安卓信创业投资有限公司,深圳-南山区,0.8-1万/月,11-15
