title,company,base,salary,date
电气专业编辑,上海敬贤信息科技有限公司,上海,6-8千/月,11月22日
APP地理课程开发,北京中青文文化传媒有限公司,北京,0.8-1万/月,11月22日
编辑（美妆类）,北京众览无限传媒广告有限公司上海分公司,上海,4-8千/月,11月22日
印制助理/印务助理,北京全景地理书业有限公司,北京,6-8千/月,11月22日
选题策划编辑,北京猫猫咪呀文化传媒有限公司,北京,0.8-1万/月,11月22日
文案策划（侧重公文写作）,深圳市千山叶广告有限公司,深圳,5-7千/月,11月22日
英语编辑,北京世超育华教育科技有限公司,北京,4.5-6千/月,11月22日
版权经理,北京湛庐文化传播有限公司,北京,5-9千/月,11月22日
医学编辑,上海东闻文化传媒有限公司,上海,5-8千/月,11月22日
舆情监测编辑,中国人民大学书报资料中心,北京,6-8千/月,11月22日
英语翻译,杭州艾维影视文化传媒有限公司,杭州,6-8千/月,11月22日
教育杂志编辑,上海百花教育培训有限公司,上海,0.6-1.5万/月,11月22日
策划编辑,童趣出版有限公司,北京,6-8千/月,11月22日
项目经理,广州美好前程信息科技有限公司,广州,4.5-6千/月,11月22日
编辑记者,北京国发智慧能源技术研究院,北京,0.8-1万/月,11月22日
美术编辑,北京五洲时代天华文化传媒有限公司,北京,4.5-6千/月,11月22日
责任编辑,上海新概念学生教学研究中心,上海,4.5-6.5千/月,11月22日
思政类、党建类图书编辑,北京大有弘政图书有限公司,北京,6-8千/月,11月22日
编辑,人民东方（广东）教育科技有限公司,广州,4-6千/月,11月22日
图书编辑（具有编辑中级职称）,群言出版社,北京,6-8千/月,11月22日
电商文案,浙江盈科万勤通信技术有限公司,杭州,4-8千/月,11月22日
机械汽车电气类教材编辑,北京大学出版社第六事业部,北京,1-1.5万/月,11月22日
记者,中国劳动保障报社华南记者站,广州,4-8千/月,11月22日
英文编辑,中国汽车要闻 China Business Update,北京,4-6千/月,11月22日
科学编辑,楠西医药科技（杭州）有限公司,广州,4-6千/月,11月22日
频道主编,和讯投捷信息科技（上海）有限公司,上海,1-1.5万/月,11月22日
编辑部主任,《中国教师》杂志社,广州,0.8-1万/月,11月22日
图书封面设计,北京四海华章科技发展有限公司,北京,0.6-1万/月,11月22日
中文编辑,广东大音音像出版社,广州,5-6千/月,11月22日
盆景 植物类 国家一级协会刊物 编辑,中国盆景艺术家协会,北京,6-8千/月,11月22日
杂志编辑、记者,《城市开发》杂志社,北京,0.8-1万/月,11月22日
"英语教材编写顾问 Consultant, ELT",牛津（上海）咨询有限公司,上海,,11月22日
编辑,广州开心教育科技股份有限公司,广州,4.5-5.5千/月,11月22日
财经证券编辑,证券市场红周刊,北京,0.8-1.2万/月,11月22日
营销编辑,北京新东方大愚文化传播有限公司,北京,1-1.5万/月,11月22日
中文编辑,《中国知识产权》杂志,北京,4-6千/月,11月22日
医学编辑(新媒体方向),《中国家庭医生》杂志社有限公司,广州,0.5-1万/月,11月22日
装帧设计师（童书）,北京禹田翰风图书有限责任公司,北京,7-9千/月,11月22日
盐田政法委文案编辑,方程文化传媒（深圳）有限公司,深圳,5-8千/月,11月22日
资深编辑,深圳泓石信息技术有限公司,深圳,0.8-1.2万/月,11月22日
数学编辑包吃住,上海东方激光教育文化有限公司,上海,6-8千/月,11月22日
资深杂志编辑,北京东方美食研究院,北京,0.8-1万/月,11月22日
图书编辑/图书策划,北京国之学文化有限公司,北京,6-8千/月,11月22日
资深新媒体编辑/原创写手,杭州晨雾文化创意有限公司,杭州,0.8-1.2万/月,11月22日
编辑部副主任,广州市京教文化传播有限公司,广州,6-8千/月,11月22日
记者,上海新闻晨报社区传媒有限公司,上海,4.5-6千/月,11月22日
语文编辑,北京科文恒信书业文化有限公司,北京,4.5-6千/月,11月22日
终审编辑,科学出版社职教技术出版中心,北京,6-8千/月,11月22日
图书策划总监,北京时代华语国际传媒股份有限公司,北京,1-2万/月,11月22日
图书网络营销编辑,北京华章图文信息有限公司（机械工业出版社华章公司）,北京,0.8-1万/月,11月22日
Project Assistant,麦克米伦信息咨询服务（上海）有限公司,北京,0.7-1万/月,11月22日
发行主管,东方出版中心有限公司,上海,0.8-1万/月,11月22日
撰稿人,北京台格喻凯科技有限公司,北京,4.5-6千/月,11月22日
图书编辑,北京豪文同典文化发展有限公司,北京,8-10万/年,11月22日
意大利语编辑,北京图灵文化发展有限公司,北京,6-8千/月,11月22日
有声书校听主管,广州市朗声图书有限公司,广州,5-7千/月,11月22日
海外业务专员,广西师范大学出版社（上海）有限公司,上海,1.4-1.6万/月,11月22日
记者,中电传媒股份有限公司广东分公司,广州,4.5-6千/月,11月22日
编辑文案,美狮传媒集团有限公司,上海,6-8千/月,11月22日
新媒体编辑,深圳市艺力文化发展有限公司,深圳,4-6千/月,11月22日
财经记者,国际金融报社,上海,0.8-1.5万/月,11月22日
资深文案策划,深圳市百欣影视文化传媒有限公司,深圳,6-8千/月,11月22日
英语编辑/英文编辑/英语翻译/英文教师/英文选题策划,京珍文化（北京）有限责任公司,北京,0.8-1万/月,11月22日
教育类垂直网站副总编辑,广东省出版集团数字出版有限公司,广州,1-1.3万/月,11月22日
医学编辑,广州标点医药信息股份有限公司,广州,0.6-1万/月,11月22日
图书策划编辑,北京万水电子信息有限公司,北京,4-8千/月,11月22日
营销编辑,果麦文化传媒股份有限公司,上海,0.7-1.2万/月,11月22日
记者,北京弘益文化有限公司,北京,0.8-1万/月,11月22日
编剧,众策文化,杭州,4-8千/月,11月22日
美术编辑,北京二十一世纪环球国际传媒有限公司,北京,10-15万/年,11月22日
调查、人物、特稿记者,北京新京报传媒有限责任公司,北京,1.5-3万/月,11月22日
小红书编辑,上海达氪车网络科技有限公司,上海,6-8千/月,11月22日
总编助理,北教小雨文化传媒（北京）有限公司,北京,4-8千/月,11月22日
红秀Grazia-资深时装编辑,财讯萌达（北京）广告有限公司上海分公司,上海,15-20万/年,11月22日
美编,《中国医疗保险》杂志社,北京,0.6-1万/月,11月22日
漫画主编,上海城市动漫出版传媒有限公司,上海,1-1.2万/月,11月22日
责任编辑,深圳冷暖商情管理咨询有限公司,深圳,0.8-1万/月,11月22日
内容运营合伙人,浙江昊汉网络有限公司,杭州,1.5-2.5万/月,11月22日
网站编辑（双休、福利好、地铁上盖、领导Nice）,广州德禄讯信息科技有限公司,广州,5-8千/月,11月22日
财经记者,融中集团,北京,0.8-1万/月,11月22日
图书策划编辑,北京天下智慧报刊发行有限公司,北京,4-6千/月,11月22日
急聘杂志美术编辑,广州全景国家地理文化发展有限公司,广州,4-5千/月,11月22日
童书编辑/文字编辑/编辑,上海悦悦图书有限公司,上海,0.6-1万/月,11月22日
图书策划编辑,北京力潮时代文化传播有限公司,北京,4.5-6千/月,11月22日
公文写作（某政府单位）,深圳守拙文化传播有限公司,深圳,0.6-1万/月,11月22日
高级记者/采编,上海法轩文化传播有限公司,上海,0.7-1.2万/月,11月22日
南方日报佛山新闻部新媒体编辑,广东南方日报经营有限公司佛山分公司,异地,6-8万/年,11月22日
责任编辑/栏目编辑（诊疗康复）,《医师在线》杂志,广州,0.6-1万/月,11月22日
Content Developer (法律内容产品律师）,励德爱思唯尔信息技术（北京）有限公司,北京,,11月22日
纸媒编辑记者,《教育家》编辑部,北京,0.6-1万/月,11月22日
（五险+双休）采编,杭州聚汽网络技术有限公司,杭州,6-8千/月,11月22日
新媒体内容编辑,上海梵潇网络科技有限公司,上海,0.8-1.2万/月,11月22日
财经资讯编辑,上海鸣应信息技术有限公司,上海,4.5-6千/月,11月22日
高级编辑,中国优质农产品开发服务协会,北京,6-8千/月,11月22日
编辑（文科、财会类）,华夏沃米（北京）教育科技有限公司,北京,5-7千/月,11月22日
医药类编辑校对,北京万德友联信息技术有限公司,北京,6-8千/月,11月22日
主编/新媒体主编,第一手机界研究院,深圳,1-1.5万/月,11月22日
产品总监,湖南澡雪新媒科技有限公司,异地,1-1.5万/月,11月22日
亲子类图书编辑,北京紫图图书有限公司,北京,5-8千/月,11月22日
网站编辑,北京之文明德文化传播有限公司,北京,6-8千/月,11月22日
初级文字编辑,广东幼狮图书发行有限公司,广州,4.5-6千/月,11月22日
助理策划编辑,北京新华先锋出版科技有限公司,北京,4.5-6千/月,11月22日
编辑,易书科技（北京）有限公司,北京,0.6-1万/月,11月22日
《中国工人》杂志编辑,中国工人出版社,北京,0.6-1万/月,11月22日
体育内容经理 Sports Content Manager,上海邮人商务咨询有限公司,上海,1-2万/月,11月22日
医学编辑,万方寰宇（北京）国际科技有限公司,北京,0.8-1.2万/月,11月22日
图书编辑,雅昌文化集团-艺术数据中心,北京,0.6-1万/月,11月22日
英语编辑,中外会展杂志社,北京,5-6.5千/月,11月22日
新媒体编辑（马克思主义、党建政治类方向）,求是网传媒（北京）有限公司,北京,0.8-1万/月,11月22日
少儿图书编辑,武汉市新新图书有限公司,北京,,11月22日
资深平面设计师——家族企业,《中国经营报》社,北京,0.7-1.5万/月,11月22日
网站编辑（汽车专业）,北京亚汽联信息技术有限公司,北京,0.6-1.2万/月,11月22日
新媒体业务主管（新华万维公司）,新华书店总店,北京,0.6-1.2万/月,11月22日
家具/电器记者,政府采购信息网,北京,4-8千/月,11月22日
商务专员,杭州六品文化创意有限公司,杭州,0.7-1.2万/月,11月22日
终审编辑,中南博集天卷文化传媒有限公司,北京,0.7-1万/月,11月22日
儿童文学类图书编辑,中国纺织出版社,北京,15-20万/年,11月22日
理工文字编辑,华东理工大学出版社有限公司,上海,9-10万/年,11月22日
编校中心-文稿编辑,清华大学出版社第六事业部,北京,4.5-6千/月,11月22日
新媒体运营编辑,北京京城新安文化传媒有限公司,北京,6-8千/月,11月22日
Vogue助理艺术总监,上海康泰纳仕广告有限公司,北京,2-3千/月,11月22日
国企出版社-----责任编辑,人民东方（北京）书业有限公司,北京,0.8-1万/月,11月22日
童书主编,北京汇瑞嘉合文化发展有限公司,北京,1.5-2万/月,11月22日
美术编辑,上海炫动传播有限公司,上海,8-10万/年,11月22日
资深记者,雅展展览服务（上海）有限公司,上海,1.3-1.5万/月,11月22日
图书编辑,深圳市阳光三采文化科技有限公司,深圳,6-8千/月,11月22日
成果推广中心编辑及研究助理,社会科学文献出版社,北京,6-8千/月,11月22日
图书印制,上海译文出版社有限公司,上海,5-8千/月,11月22日
绘本/儿童文学编辑,读客文化股份有限公司,上海,0.6-1万/月,11月22日
杂志英文翻译、编辑,广东包装与设计杂志社有限公司,广州,5-6千/月,11月22日
